data has 1335285 characters, 97 unique.
[sample@epoch 80] @.aRm  saduD#o/sne {6C PQ oitp irme80 2"Of5el. 2l  	a	s^0 cORwii-nanl a; eab hoan$t oae l3sXscgiec toiene rsl nnsa s*uied Aineeii l/3es csailbnfluA n7 ...
Epoch 0081 | avg_token_loss: 3.3755 | ppl: 29.24
Epoch 0082 | avg_token_loss: 3.3682 | ppl: 29.03
Epoch 0083 | avg_token_loss: 3.3711 | ppl: 29.11
Epoch 0084 | avg_token_loss: 3.3658 | ppl: 28.96
Epoch 0085 | avg_token_loss: 3.3580 | ppl: 28.73
Epoch 0086 | avg_token_loss: 3.3615 | ppl: 28.83
Epoch 0087 | avg_token_loss: 3.3579 | ppl: 28.73
Epoch 0088 | avg_token_loss: 3.3559 | ppl: 28.67
Epoch 0089 | avg_token_loss: 3.3504 | ppl: 28.51
Epoch 0090 | avg_token_loss: 3.3465 | ppl: 28.40
Epoch 0091 | avg_token_loss: 3.3491 | ppl: 28.48
Epoch 0092 | avg_token_loss: 3.3441 | ppl: 28.33
Epoch 0093 | avg_token_loss: 3.3433 | ppl: 28.31
Epoch 0094 | avg_token_loss: 3.3415 | ppl: 28.26
Epoch 0095 | avg_token_loss: 3.3387 | ppl: 28.18
Epoch 0096 | avg_token_loss: 3.3426 | ppl: 28.29
Epoch 0097 | avg_token_loss: 3.3383 | ppl: 28.17
Epoch 0098 | avg_token_loss: 3.3399 | ppl: 28.22
Epoch 0099 | avg_token_loss: 3.3356 | ppl: 28.09
Epoch 0100 | avg_token_loss: 3.3336 | ppl: 28.04
[sample@epoch 100] xX{rdn: ueA utOm >ocil samrSo  et Qay$K	d4 noi5tma ie ti	hommlcK,o t(i3eaZeNpo	ioZ{ tiua titrISiltc ngntlp VdT-e ++,	loee olcsof eurihie- ito`^eap8h4e ...
Epoch 0101 | avg_token_loss: 3.3312 | ppl: 27.97
Epoch 0102 | avg_token_loss: 3.3308 | ppl: 27.96
Epoch 0103 | avg_token_loss: 3.3331 | ppl: 28.03
Epoch 0104 | avg_token_loss: 3.3326 | ppl: 28.01
Epoch 0105 | avg_token_loss: 3.3317 | ppl: 27.99
Epoch 0106 | avg_token_loss: 3.3290 | ppl: 27.91
